Batch,Agent,Date,Retail_ID,Location,Retailer,GPU model,GPU Category,Manufacturer,Variant,Price,Currency,Price_type,Availability,Quantity,Restock_date,Source,Confidence,Evidence
1,Princess,9/10/2026,MY09Y0,"5201 US-280 W, Birmingham, AL 35242",Best Buy Birmingham,RTX 5070,desktop_discrete,MSI,Not stated,849.0,USD,Not stated,in_stock,1,Not stated,Call transcript,high,“I have the 5070 by both MSI priced at $849” and “one of each.”
1,Princess,9/10/2026,MY09Y0,"5201 US-280 W, Birmingham, AL 35242",Best Buy Birmingham,RTX 5070,desktop_discrete,PNY,Not stated,799.0,USD,Not stated,in_stock,1,Not stated,Call transcript,high,“PNY at $799” and “one of each.”
1,Princess,9/10/2026,MY09Y0,"5201 US-280 W, Birmingham, AL 35242",Best Buy Birmingham,RTX 5060 Ti,desktop_discrete,ASUS,Not stated,799.0,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,"“Yes, it does look like I have that one available as well. It's priced at $799.” / “It is Asus.”"
1,Princess,9/10/2026,MY09Y0,"5201 US-280 W, Birmingham, AL 35242",Best Buy Birmingham,Radeon RX 9070 XT,desktop_discrete,Not stated,Not stated,,USD,Not stated,order_required,Not stated,Not stated,Call transcript,medium,"Customer asks for “9070XT”; agent says “No, that one we would have to order.”"
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,RTX 5060,desktop_discrete,PNY,NVIDIA GeForce,449.99,USD,Retail_price,in_stock,1,Not stated,Call transcript,high,"“I have one on this one, on this model.” / “$449.99 for the 5060, RTX 5060.”"
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,RTX 5070,desktop_discrete,PNY,NVIDIA GeForce,799.0,USD,Retail_price,in_stock,Not stated,Not stated,Call transcript,high,"“For the 5070, the price will be... 799.” / “I have it for delivery only. It will be free delivery tomorrow.”"
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,RTX 5070 Ti,desktop_discrete,PNY,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,medium,"“One for $1,199, that will be the PNY.”"
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,RTX 5070 Ti,desktop_discrete,MSI,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,low,Transcript: “I have the MS Piper 1000 $149.99” — wording is unclear/corrupted.
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,RTX 5070 Ti,desktop_discrete,Gigabyte,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,"“$1,249.99.” / “A gigabyte exactly.”"
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,RTX 5070 Ti,desktop_discrete,MSI,Not stated,,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,"“Also, I have another MSI... that's the same price.”"
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,Radeon RX 9070,desktop_discrete,AMD / ASRock,Not stated,669.99,USD,Not stated,in_stock,Not stated,Not stated,Call transcript,high,“RX 9070 for $669.99.” / “it's AMD exactly. The brand on this one is ASRock.” / “This one is for delivery.”
1,Francyn,9/10/2026,B44RU3,"5072 Pinnacle Sq, Birmingham, AL 35235",Best Buy Trussville,Radeon RX 9070,desktop_discrete,AMD / Gigabyte,Not stated,549.99,USD,Listed_price,out_of_stock,Not stated,Next Wednesday,Call transcript,high,“This is a gigabyte. The price is $549.99.” / “we don't have it on inventory for pickup” / “Next Wednesday.”
